    1    1   0.8466667
    1    2   0.4500000
    2    1   0.3800000
    2    2   0.1066667
    3    1  -0.1966667
    3    2   0.5366667
    4    1  -0.5100000
    4    2   0.4833333
    5    1  -0.1600000
    5    2   0.6533334
    6    1   0.9066667
    6    2  -0.4066667
    7    1  -0.7000000
    7    2   0.5733333
    8    1  -0.2200000
    8    2   0.1333333
    9    1   0.3200000
    9    2  -0.8866667
   10    1  -0.9866667
   10    2  -0.5866667
   11    1  -0.7900000
   11    2  -0.7866667
   12    1  -0.1366667
   12    2   0.9866667
   13    1   0.7866667
   13    2   0.8200000
   14    1   0.0433333
   14    2  -0.0100000
   15    1  -0.3666667
   15    2  -0.0466667
   16    1   0.0166667
   16    2   0.5500000
   17    1   0.3933333
   17    2  -0.7466667
   18    1  -0.1700000
   18    2  -0.1733333
   19    1  -0.9066667
   19    2   0.5500000
   20    1   0.0600000
   20    2   0.3733333
   21    1   0.9800000
   21    2  -0.6233333
   22    1   0.1000000
   22    2  -0.0033333
   23    1   0.2133333
   23    2   0.1333333
   24    1   0.4466667
   24    2   0.4400000
   25    1   0.4233333
   25    2  -0.3266667
   26    1  -0.0200000
   26    2  -0.0633333
   27    1   0.1233333
   27    2  -0.1900000
   28    1   0.6966667
   28    2  -0.3600000
   29    1   0.1433333
   29    2  -0.1600000
   30    1  -0.5133333
   30    2  -0.9566667
   31    1  -0.7666667
   31    2   0.1633333
   32    1   0.7066667
   32    2  -0.9300000
   33    1   0.9966667
   33    2   0.1800000
   34    1  -0.5066667
   34    2  -0.1466667
   35    1  -0.0566667
   35    2  -0.6366667
   36    1  -0.0233333
   36    2  -0.3400000
   37    1  -0.2500000
   37    2  -0.8733333
   38    1   0.0600000
   38    2  -0.4133334
   39    1   0.5000000
   39    2   0.7466667
   40    1   0.3266667
   40    2   0.8200000
   41    1  -0.8566667
   41    2   0.8033333
   42    1   0.5733333
   42    2  -0.3300000
   43    1  -0.3633333
   43    2   0.8633333
   44    1   0.9066667
   44    2  -0.2766667
   45    1   0.0933333
   45    2  -0.0166667
   46    1  -0.1866667
   46    2  -0.8233334
   47    1   0.9466667
   47    2  -0.3800000
   48    1   0.5000000
   48    2  -0.0033333
   49    1   0.9633334
   49    2   0.6033334
   50    1  -0.2600000
   50    2  -0.7466667
   51    1   0.0566667
   51    2   0.3900000
   52    1  -0.4366667
   52    2   0.2933334
   53    1   0.3966667
   53    2   0.5333334
   54    1  -0.0400000
   54    2   0.0900000
   55    1  -0.2766667
   55    2  -0.8633333
   56    1   0.3866667
   56    2   0.7033334
   57    1  -0.9966667
   57    2  -0.9833333
   58    1   0.6066667
   58    2  -0.6733333
   59    1   0.6933333
   59    2   0.1766667
   60    1  -0.4200000
   60    2   0.9266667
   61    1   0.5800000
   61    2  -0.3500000
   62    1  -0.1333333
   62    2   0.6933333
   63    1  -0.3400000
   63    2   0.2233333
   64    1  -0.9600000
   64    2  -0.5433334
