    1    1   0.0466667
    1    2  -0.0866667
    2    1  -0.3733333
    2    2  -0.1533333
    3    1   0.0366667
    3    2   0.0066667
    4    1   0.7633334
    4    2   0.6100000
    5    1   0.3833334
    5    2  -0.2800000
    6    1   0.5600000
    6    2   0.1633333
    7    1   0.1266667
    7    2  -0.7100000
    8    1   0.9666667
    8    2  -0.8600000
    9    1  -0.5900000
    9    2  -0.2366667
   10    1  -0.4033333
   10    2  -0.7566667
   11    1   0.7133334
   11    2   0.4233333
   12    1  -0.2933334
   12    2   0.7200000
   13    1  -0.9666667
   13    2  -0.9966667
   14    1   0.9833333
   14    2  -0.6666667
   15    1  -0.1700000
   15    2   0.9000000
   16    1   0.0300000
   16    2   0.2700000
